name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
City of Helsinki,https://hel.fi/,,unknown,location data API,"Helsinki on Suomen pääkaupunki. Kaupungissa on noin 675 000 asukasta. Helsinki on tärkeä hallinnon, liike-elämän ja kulttuurin keskus.",Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.hel.fi/fi | https://hel.fi/,,,,City of Helsinki,unknown,unknown,unknown,unknown,Location data and geocoding API,location data API,unknown,government,API; services,government,unknown,unknown,unknown,services,unknown,unknown,Services and project fees,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into government users for location data API.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,location / POI data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Civil Applications Committee,https://usgs.gov/,United States,unknown,geospatial intelligence / USGIF member,Current organizational member listed by USGIF.,"Geospatial intelligence, remote sensing, geospatial software, or related services",yes,yes,unknown,yes,yes,https://usgif.org/current-organizational-members/ | https://www.usgs.gov/publications/civil-applications-committee | https://www.usgs.gov/about/about-us | https://www.usgs.gov/science/science-explorer/planetary-science | https://www.usgs.gov/news/news-releases | https://usgs.gov/ | https://www.geo-week.com/event-news/geo-week-announces-100-exhibitors-to-date/ | https://www.usgs.gov/,,,,Civil Applications Committee,United States,unknown,unknown,acquired,"Geospatial intelligence, remote sensing, geospatial software, or related services",earth observation analytics,map creation; data visualization; satellite imagery analysis; surveying; reporting,government; energy / utilities; environmental services; retail / commerce; defense / intelligence,API; SaaS; services,government; SMB; enterprise,GIS analyst; developer; project manager; surveyor; remote sensing analyst,United States,unknown,services,unknown,unknown,Services and project fees,"AI-native, real-time earth observation analytics",Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,partner-led,Partner-oriented GTM into government; SMB; enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,News Releases | U.S. Geological Survey,2026-04-17,satellite imagery; weather / climate data,AI / machine learning; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Clark University,https://clarku.edu/,United States,unknown,earth observation analytics,"Clark University, founded in 1887, offers nearly 50 majors, more than 30 master's degrees, and ten Ph.D. programs to help you become a force for...",Earth observation and imagery analytics platform,yes,yes,unknown,unknown,yes,https://www.clarku.edu/ | https://www.clarku.edu/about/ | https://www.clarku.edu/news/2026/04/08/clark-gis-student-lands-internships-at-esri-noaa/ | https://clarku.edu/,,,,Clark University,United States,unknown,unknown,acquired,Earth observation and imagery analytics platform,earth observation analytics,geospatial analysis; data visualization; geocoding; satellite imagery analysis; surveying,government; environmental services; defense / intelligence; travel / tourism,API; SaaS; mobile; services,consumer; government,GIS analyst; planner; developer; surveyor; remote sensing analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,collaborative earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Esri; Planet,direct,Direct website-led GTM into consumer; government users for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,"Clark GIS student lands internships at Esri, NOAA | ClarkU News",2026-04-17,GIS data; satellite imagery; weather / climate data,real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Climate Hazards Group InfraRed Precipitation with Station,https://chc.ucsb.edu/,United States,unknown,geospatial / remote sensing,Santa Barbara Main menu About People Publications Tools Data Sets Monitoring and Forecasting News Activities CHC Blog Search CHIRPS: Rainfall Estimates from Rain Gauge and...,Earth observation and imagery analytics platform,yes,yes,unknown,unknown,yes,https://github.com/kartoza/awesome-geodata | https://chc.ucsb.edu/about | https://blog.chc.ucsb.edu/ | https://chc.ucsb.edu/,,,,Climate Hazards Group InfraRed Precipitation with Station,United States,unknown,1999,active,Earth observation and imagery analytics platform,earth observation analytics,data visualization; field operations; route optimization; satellite imagery analysis; surveying,government; energy / utilities; environmental services; agriculture; retail / commerce,API; mobile; services,government; enterprise,GIS analyst; planner; developer; field operations manager; surveyor,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,collaborative earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Harvest,partner-led,Partner-oriented GTM into government; enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,CHC Blog – A blog about climate science and making a difference.,2026-04-17,satellite imagery; API integrations; weather / climate data,API-first; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Concordia University Montréal,https://concordia.ca/,Canada,unknown,location data API,"The universityâs Next-Generation Cities Institute leverages the combined strength of our cities research capacity to enhance collaboration, communication, education and interaction within our community. The...",Location data and geocoding API,yes,unknown,unknown,unknown,unknown,https://www.concordia.ca/research/cities-institute.html | https://www.concordia.ca/research/cities-institute/about.html | https://www.concordia.ca/cunews/encs/2025/11/27/canadas-cities-show-mixed-results-on-climate-action-plan-retrofitting-targets.html | https://www.concordia.ca/research/cities-institute/news.html | https://concordia.ca/,,,,Concordia University Montréal,Canada,unknown,unknown,active,Location data and geocoding API,location data API,project tracking; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; services,government; enterprise,planner; developer; project manager,Global,unknown,usage-based,unknown,unknown,Usage-based platform or API fees,"collaborative, AI-native location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,News | Next-Generation Cities Institute - Concordia University,2026-04-17,location / POI data; API integrations; weather / climate data,AI / machine learning; API-first; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Consider It Energy,https://consideritenergy.com/,,unknown,location data API,Consider It Energy Step Code Compliance and Home Energy Evaluations on Vancouver Island Gain expert insight into your home's energy use with an energy evaluation...,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/consider-it-energy/ | https://www.consideritenergy.com/ | https://www.consideritenergy.com/about-us | https://www.consideritenergy.com/blog | https://consideritenergy.com/,https://www.linkedin.com/company/consider-it-energy/,1343,,Consider It Energy,unknown,unknown,unknown,acquired,Location data and geocoding API,location data API,data visualization; field operations,government; AEC / infrastructure; energy / utilities; environmental services; retail / commerce,API; services,government; enterprise,planner; data analyst,unknown,unknown,services,unknown,unknown,Services and project fees,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into government; enterprise users for location data API.,unknown,1343,unknown,unknown,unknown,"Blog | Consider It Energy We Provide EnerGuide Evaluations/ Labels, Blower Door...",2026-04-17,location / POI data; weather / climate data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Constructor University Bremen gGmbH,https://jacobs-university.de/,Argentina,unknown,field operations GIS software,"Embark on a historical voyage with Constructor University, born from a collaborative effort in 1999 and rebranded in 2022. Unravel its transformation from military barracks...",GIS-native field operations software,yes,unknown,unknown,unknown,unknown,https://constructor.university/more/about-us/history | https://constructor.university/more/about-us | https://constructor.university/blog | https://jacobs-university.de/,,,,Constructor University Bremen gGmbH,Argentina,unknown,1999,acquired,GIS-native field operations software,field operations GIS software,data visualization; field operations; route optimization; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; mobile; services,consumer; government; SMB; enterprise,planner; developer; project manager; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, AI-native field operations GIS software",Matidor; Atlas.co; Esri,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,Blog | Constructor University,2026-04-17,GIS data; location / POI data; API integrations,AI / machine learning; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,unknown
Copper Labs,https://copperlabs.com/,,unknown,location data API,Copper Labs Site Not Configured | 404 Not Found Site Not Configured | 404 Not Found 404 The site you were looking for couldn't be...,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/copper-labs/ | https://copperlabs.com/,https://www.linkedin.com/company/copper-labs/,1476,,Copper Labs,unknown,unknown,unknown,unknown,Location data and geocoding API,location data API,unknown,unknown,API; SaaS,consumer; enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into consumer; enterprise users for location data API.,unknown,1476,unknown,unknown,unknown,unknown,2026-04-17,location / POI data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Creative Destruction Lab,https://creativedestruction.no/,,unknown,location data API,Creative Destruction Lab creativedestruction.no is not found creativedestruction.no is not found creativedestruction.no is not found creativedestruction.no is not found in the configuration on this server,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/creativedestruction/ | https://creativedestruction.no/,https://www.linkedin.com/company/creativedestruction/,59682,,Creative Destruction Lab,unknown,unknown,unknown,active,Location data and geocoding API,location data API,unknown,unknown,API,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into enterprise users for location data API.,unknown,59682,unknown,unknown,unknown,unknown,2026-04-17,location / POI data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CSTARS – University of Miami,https://rsmas.miami.edu/,,unknown,earth observation / remote sensing company,The Center for Southeastern Tropical Advanced Remote Sensing Facility,remote sensing,yes,yes,unknown,unknown,yes,https://www.earth.miami.edu/research/centers/cstars/index.html | https://welcome.miami.edu/about-um/index.html | https://news.miami.edu/ | https://rsmas.miami.edu/,,,,CSTARS – University of Miami,unknown,unknown,1925,acquired,remote sensing,earth observation analytics,data visualization; project tracking; site selection; route optimization; satellite imagery analysis,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; mobile; services,government; SMB; enterprise,planner; developer; remote sensing analyst; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"AI-native, real-time earth observation analytics",Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,partner-led,Partner-oriented GTM into government; SMB; enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,University of Miami News and Events,2026-04-17,satellite imagery; weather / climate data,AI / machine learning; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Curtin University,https://curtin.edu.au/,Australia,unknown,location data API,"Curtin University is an international university with locations in Western Australia, Malaysia, Singapore, Colombo, Mauritius and Dubai.",Location data and geocoding API,yes,unknown,unknown,unknown,unknown,https://www.curtin.edu.au/ | https://www.curtin.edu.au/about/ | https://www.curtin.edu.au/study/learning-experience/learning-support/disability-planning/ | https://www.curtin.edu.au/research/news/ | https://curtin.edu.au/,,,,Curtin University,Australia,unknown,unknown,active,Location data and geocoding API,location data API,project tracking; route optimization; surveying; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,API; services,consumer; government; SMB; enterprise,planner; developer; surveyor,Global,unknown,services,unknown,unknown,Services and project fees,"collaborative, AI-native location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,News | Research,2026-04-17,location / POI data; weather / climate data,AI / machine learning; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
CyberGIS Center for Advanced Digital and Spatial Studies,https://cybergis.illinois.edu/,United States,unknown,location data API,GISX strives to bridge the digital divide in geospatial science and ensure that everyone benefits from cyberGIS advances by democratizing access to advanced cyberinfrastructure and...,Location data and geocoding API,yes,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/cybergiscenter/ | https://cybergis.illinois.edu/ | https://cybergis.illinois.edu/about/ | https://las.illinois.edu/news/2021-09-28/u-i-leads-new-15-million-institute-understand-climate-change-and-disasters,https://www.linkedin.com/company/cybergiscenter/,400,,CyberGIS Center for Advanced Digital and Spatial Studies,United States,unknown,2013,acquired,Location data and geocoding API,location data API,project tracking; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; defense / intelligence,API; SaaS; services,government; enterprise,GIS analyst; planner; developer; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, AI-native, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,400,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations; weather / climate data,AI / machine learning; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
DAn Solutions,https://dansolutions.com/,,unknown,location data API,"You have hard problems. We have solutions . From integrating new security technology on highly complex networks to engineering and operating large-scale infrastructures, we see...",Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.dansolutions.com/ | https://dansolutions.com/,,,,DAn Solutions,unknown,unknown,unknown,active,Location data and geocoding API,location data API,field operations; collaboration,government; AEC / infrastructure; logistics / mobility,API; SaaS; services; on-prem,government; enterprise,planner; data analyst,unknown,unknown,services,unknown,unknown,Services and project fees,collaborative location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,location / POI data; API integrations,cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Dance,https://dance.co/,Jordan,unknown,location data API,Dance Dance for Business | Dance Dance for Business Dance for Business | Dance Skip to content Dance Service E-Bike Start now Dance for Business...,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/dance/ | https://dance.co/about | https://dance.co/posts/press | https://dance.co/,https://www.linkedin.com/company/dance/,12707,,Dance,Jordan,unknown,unknown,active,Location data and geocoding API,location data API,unknown,government; energy / utilities; logistics / mobility; retail / commerce,API,consumer; government; enterprise,planner; developer,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for location data API.,unknown,12707,unknown,unknown,unknown,Press | Dance,2026-04-17,unknown,cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Delta State University,https://deltastate.edu/,,Greenville,consumer mapping app,"Delta State University is a public university located in the Mississippi Delta with undergraduate, graduate, international, continuing education, and online programs for students.",Consumer mapping application,yes,unknown,unknown,unknown,unknown,https://www.deltastate.edu/ | https://www.deltastate.edu/about-dsu/ | https://www.deltastate.edu/admissions/visit-campus/ | https://www.deltastate.edu/news-and-events/2026/04/delta-state-university-to-host-crisis-intervention-training-in-addition-to-fbi-cjis-law-enforcement-sessions/ | https://deltastate.edu/,,,,Delta State University,unknown,Greenville,unknown,acquired,Consumer mapping application,consumer mapping app,field operations; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; retail / commerce,API; SaaS; mobile; services,consumer; government; SMB; enterprise,GIS analyst; developer,Global,unknown,subscription,yes,Free,SaaS subscriptions,"collaborative, AI-native consumer mapping app",Google Maps; Mapbox; Foursquare,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for consumer mapping app.,unknown,unknown,unknown,unknown,unknown,Delta State University to host crisis intervention training in addition to FBI...,2026-04-17,GIS data; weather / climate data,AI / machine learning; real-time collaboration,Low direct competition; limited overlap with Brooksie's enterprise geospatial research and execution workflows.,"Low fit as a core customer; possible internal use for market, place, or operations research.",Limited fit; no obvious core dependency beyond niche integration or inspiration.
"Department of Land Resources, Ministry of Rural Development, Government of India",https://dolr.gov.in/,India,unknown,location data API,"Department related to RTI Citizen for filing online RTI Applications/Appeals Information Handbook Press Release FAQ Close LATEST NEWS E-Auction Notices (Photocopiers, Computers, Monitors, UPS, Printers...",Location data and geocoding API,yes,unknown,unknown,unknown,unknown,https://dolr.gov.in/ | https://dolr.gov.in/about-department/ | https://dolr.gov.in/union-minister-shri-shivraj-singh-chouhan-launches-a-national-level-mass-outreach-campaign-watershed-yatra/,,,,"Department of Land Resources, Ministry of Rural Development, Government of India",India,unknown,unknown,active,Location data and geocoding API,location data API,surveying; reporting,government; AEC / infrastructure; environmental services; agriculture,API; SaaS; mobile; services,government; enterprise,planner; project manager; surveyor,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Union Minister Shri Shivraj Singh Chouhan launches a national level mass outreach...,2026-04-17,unknown,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
dMY Technology Group,https://dmytechnology.com/,,San Francisco. During his tenure,location data API,MY Technology Group dMY Technology Group | Pioneering 'All Weather' 'dMY Technology Group has a proven operating system for ensuring ‘all weather’ and rapidly-growing private...,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/dmy-technology-group/ | https://www.dmytechnology.com/ | https://www.dmytechnology.com/about/ | https://www.dmytechnology.com/newsroom/ | https://dmytechnology.com/,https://www.linkedin.com/company/dmy-technology-group/,325,,dMY Technology Group,unknown,San Francisco. During his tenure,unknown,acquired,Location data and geocoding API,location data API,data visualization,government; energy / utilities; environmental services; telecom; insurance,API; SaaS; mobile; services,consumer; government; SMB; enterprise,developer; project manager; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for location data API.,unknown,325,raised over $2B,unknown,unknown,unknown,2026-04-17,location / POI data; weather / climate data,API-first; cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Dr. Babasaheb Ambedkar Technological University (DBATU),https://dbatu.ac.in/,India,unknown,field operations GIS software,A Decrease font size. A Reset font size. A Increase font size.,GIS-native field operations software,unknown,unknown,unknown,unknown,unknown,https://dbatu.ac.in/ | https://dbatu.ac.in/about-the-university-2/ | https://dbatu.ac.in/perspective-plan/ | https://dbatu.ac.in/expression-of-interest-for-internal-auditor-2/,,,,Dr. Babasaheb Ambedkar Technological University (DBATU),India,unknown,2016,active,GIS-native field operations software,field operations GIS software,data visualization; field operations; surveying; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; telecom,API; SaaS; desktop; services,government; SMB; enterprise,planner; developer; project manager; surveyor; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, AI-native field operations GIS software",Matidor; Atlas.co; Esri,unknown,direct,Direct website-led GTM into government; SMB; enterprise users for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,Expression of Interest for Internal Auditor – Dr.Babasaheb Ambedkar Technological University,2026-04-17,unknown,AI / machine learning,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Earthshot Labs,https://earthshot.eco/,,unknown,location data API,"Earthshot is a platform to develop and finance nature-based carbon projects. We bring scientific rigor to carbon markets, support land stewards to get paid for...",Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.earthshot.eco/ | https://www.earthshot.eco/about/about-us | https://earthshot.eco/,,,,Earthshot Labs,unknown,unknown,unknown,acquired,Location data and geocoding API,location data API,field operations; collaboration,AEC / infrastructure; energy / utilities; environmental services; logistics / mobility; retail / commerce,API; SaaS; services,SMB; enterprise,planner,Global,unknown,services,unknown,unknown,Services and project fees,collaborative location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into SMB; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,location / POI data; API integrations,real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Elsevier for Energy,https://elsevier.com/,,unknown,location data API,Elsevier | A global leader for advanced information and decision support in science and healthcare Elsevier provides advanced information and decision support to accelerate progress...,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/elsevierforenergy/ | https://www.elsevier.com/ | https://www.elsevier.com/about | https://www.elsevier.com/about/global-press-office | https://elsevier.com/,https://www.linkedin.com/company/elsevierforenergy/,703,,Elsevier for Energy,unknown,unknown,unknown,acquired,Location data and geocoding API,location data API,data visualization; field operations; route optimization; reporting; collaboration,government; energy / utilities; environmental services; retail / commerce; mining,API; SaaS; desktop; mobile; services,government; enterprise,planner; developer; data analyst,Global,unknown,services,unknown,unknown,Services and project fees,"collaborative, AI-native location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,703,unknown,unknown,unknown,Global Media Relations │ Elsevier,2026-04-17,unknown,AI / machine learning,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Energistics,https://energistics.org/,United States,unknown,location data API,"Resources Learn More Previous Next Who We Are & What We Do Energistics is a global, non-profit consortium that facilitates the development, management, and adoption...",Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://energistics.org/ | https://energistics.org/energistics-consortium-membership | https://energistics.org/case-studies | https://energistics.org/news,,,,Energistics,United States,unknown,unknown,active,Location data and geocoding API,location data API,reporting; collaboration,AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; services,consumer; enterprise,developer,Global,unknown,license,unknown,unknown,Software licensing,"collaborative, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into consumer; enterprise users for location data API.,unknown,unknown,unknown,unknown,unknown,News | energistics.org,2026-04-17,location / POI data; API integrations,API-first; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Energy Werx Corp.,https://energywerx.org/,United States,unknown,location data API,Energy Werx Corp. ENERGYWERX: DOE Energy Innovation Hub | Home Explore DOE energy funding opportunities and innovation partnerships through ENERGYWERX,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/energywerx/ | https://www.energywerx.org/ | https://energywerx.org/,https://www.linkedin.com/company/energywerx/,544,,Energy Werx Corp.,United States,unknown,unknown,active,Location data and geocoding API,location data API,collaboration,government; AEC / infrastructure; energy / utilities; retail / commerce; defense / intelligence,API; SaaS; services,government; enterprise,planner; developer,Global,unknown,services,unknown,unknown,Services and project fees,"collaborative, AI-native location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for location data API.,unknown,544,unknown,unknown,unknown,unknown,2026-04-17,unknown,AI / machine learning; API-first; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
EnerHome Consulting Ltd,https://enerhomeconsulting.ca/,Canada,unknown,location data API,EnerHome Consulting Ltd Energy Evaluation Certified Advisor - EnerHome Consulting Ltd Enerhome Consulting LTD provides energy saving solutions to Meet your energy targets in the...,Location data and geocoding API,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/enerhome-consulting-ltd/ | https://enerhomeconsulting.ca/ | https://enerhomeconsulting.ca/about/,https://www.linkedin.com/company/enerhome-consulting-ltd/,102,,EnerHome Consulting Ltd,Canada,unknown,unknown,acquired,Location data and geocoding API,location data API,field operations; collaboration,government; AEC / infrastructure; energy / utilities; environmental services,API; services,consumer; government; SMB; enterprise,planner,Canada,unknown,usage-based,unknown,unknown,Usage-based platform or API fees,collaborative location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,marketplace,Marketplace-led distribution for location data API.,unknown,102,unknown,unknown,unknown,unknown,2026-04-17,location / POI data; weather / climate data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
