name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
RN Technologies,https://rn-technologies.com/,,unknown,commercial drone / event exhibitor,Commercial UAV Expo 2023 exhibitor.,"Commercial drone, surveying, mapping, lidar, or related services",yes,unknown,yes,yes,unknown,https://www.expouav.com/2023-exhibitor-list/ | https://rn-technologies.com/,,,,RN Technologies,unknown,unknown,unknown,unknown,"Commercial drone, surveying, mapping, lidar, or related services",drone mapping platform,drone mapping; surveying,unknown,SaaS; services,enterprise,GIS analyst; surveyor; drone operator,unknown,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,unknown,direct,Direct website-led GTM into enterprise users for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery; LiDAR / point clouds,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
RoadBotics,https://roadbotics.com/,,unknown,geospatial / remote sensing company,earth observation analytics,Earth observation and imagery analytics platform,yes,yes,unknown,unknown,unknown,https://geoawesome.com/global-top-100-geospatial-companies-2023-edition/ | https://roadbotics.com/,,,,RoadBotics,unknown,unknown,unknown,unknown,Earth observation and imagery analytics platform,earth observation analytics,unknown,unknown,unknown,enterprise,remote sensing analyst,unknown,unknown,unknown,unknown,unknown,unknown,earth observation analytics,Planet; Picterra; Brooksie AI; UP42,unknown,direct,Direct website-led GTM into enterprise users for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Robinson Engineering Ltd,https://reltd.com/,United States,Frankfort,GIS / Esri partner,"Robinson Engineering is a full-service engineering firm with specialties in municipal engineering, transportation services, water and waste water management, construction services, storm water management and...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,yes,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/robinson-engineering-a2T70000000TNd7EAG | https://www.reltd.com/ | https://www.reltd.com/about-robinson | https://www.reltd.com/planning-and-zoning | https://www.reltd.com/news-story-1 | https://reltd.com/,,,,Robinson Engineering Ltd,United States,Frankfort,unknown,acquired,Surveying and geomatics services,surveying services,field operations; drone mapping; surveying; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,services,government; enterprise,GIS analyst; planner; surveyor; drone operator,unknown,unknown,services,unknown,unknown,Services and project fees,collaborative surveying services,Esri partners; surveying firms; drone mapping vendors,Esri,partner-led,Partner-oriented GTM into government; enterprise accounts for surveying services.,unknown,unknown,unknown,unknown,unknown,News Story 2 | Reltd,2026-04-17,GIS data; drone imagery; location / POI data; API integrations,real-time collaboration,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
RoboGarden,https://robogarden.ca/,Canada,Calgary,GIS / Esri partner,"RoboGarden Inc., established in 2016 and headquartered in Calgary, Alberta, is a Canadian educational technology (EdTech) company dedicated to delivering accessible, interactive, and gamified digital...","Application Development, GIS Strategy and Planning, System Architecture and Design, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/robogarden-a2TUU000000frWb2AI | https://robogarden.ca/,,,,RoboGarden,Canada,Calgary,2016,acquired,"Application Development, GIS Strategy and Planning, System Architecture and Design, Training Services",GIS / mapping platform,unknown,AEC / infrastructure; energy / utilities; environmental services; defense / intelligence,SaaS; mobile; services,government; enterprise,GIS analyst; planner,unknown,unknown,services,unknown,unknown,Services and project fees,AI-native GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into government; enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,AI / machine learning,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
Robotic Skies,https://roboticskies.com/,,unknown,commercial drone / event exhibitor,Commercial UAV Expo 2023 exhibitor.,"Commercial drone, surveying, mapping, lidar, or related services",yes,unknown,yes,yes,unknown,https://www.expouav.com/2023-exhibitor-list/ | https://roboticskies.com/,,,,Robotic Skies,unknown,unknown,unknown,unknown,"Commercial drone, surveying, mapping, lidar, or related services",drone mapping platform,drone mapping; surveying,unknown,SaaS; services,enterprise,GIS analyst; surveyor; drone operator,unknown,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,unknown,direct,Direct website-led GTM into enterprise users for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery; LiDAR / point clouds,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Rock Seven,https://rock7.com/,United States,unknown,geospatial / remote sensing,Rock Seven geospatial / remote sensing Satellite IoT & Tracking | Iridium & Viasat Airtime | Ground Control We design & build satellite-based IoT &...,Location data and geocoding API,yes,yes,yes,yes,yes,https://github.com/AlexArcPy/geospatial-careers | https://www.groundcontrol.com:443/?refer=rock7 | https://www.groundcontrol.com/about/ | https://www.groundcontrol.com/solution-finder/ | https://www.groundcontrol.com/knowledge/case-studies/reliable-recloser-communications-using-satellite-connectivity/ | https://www.groundcontrol.com/blog/satellite-iot-remote-water-systems-monitoring/ | https://rock7.com/,,,,Rock Seven,United States,unknown,2005,acquired,Location data and geocoding API,location data API,data visualization; field operations; project tracking; route optimization; satellite imagery analysis,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,API; SaaS; desktop; services,government; SMB; enterprise,GIS analyst; planner; developer; project manager; field operations manager,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"open-source, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,Satellite IoT for Confidence in Remote Water Systems Monitoring,2026-04-17,satellite imagery; drone imagery; LiDAR / point clouds; location / POI data; API integrations; weather / climate data,API-first; open source; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
ROK Technologies LLC,https://roktech.net/,United States,Mount Pleasant,GIS / Esri partner,"At ROK Technologies, our sole focus is to architect, deploy and manage the ArcGIS® Enterprise suite and Desktop applications in Cloud and Hybrid environments. Recognized...","Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,yes,unknown,yes,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/rok-technologies-llc-a2T70000000TNdBEAW | https://roktech.net/ | https://roktech.net/our-company/ | https://roktech.net/knowledge-center/case-studies/ | https://roktech.net/our-company/news-events/,,,,ROK Technologies LLC,United States,Mount Pleasant,1965,active,Geospatial consulting and integration services,consulting / integration services,geospatial analysis; drone mapping; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; desktop; services; on-prem,consumer; government; enterprise,GIS analyst; planner; developer; drone operator; remote sensing analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,collaborative consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,News & Events - ROK Technologies,2026-04-17,GIS data; satellite imagery; drone imagery; API integrations,cloud platform,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Roke,https://roke.co.uk/,,unknown,drone mapping platform,"Roke are defence, security & industry specialists",Drone mapping and aerial data platform,unknown,unknown,yes,unknown,unknown,https://www.roke.co.uk/ | https://www.roke.co.uk/about-roke/ | https://www.roke.co.uk/products/viper-prefix/ | https://www.roke.co.uk/case-studies/ | https://www.roke.co.uk/news/ | https://roke.co.uk/,,,,Roke,unknown,unknown,unknown,active,Drone mapping and aerial data platform,drone mapping platform,data visualization,government; AEC / infrastructure; energy / utilities; environmental services; defense / intelligence,SaaS; services,government; enterprise,planner; developer; data analyst,Global,unknown,services,unknown,unknown,Services and project fees,AI-native drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,API integrations,AI / machine learning,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
rola Security Solutions GmbH,https://www.rola.com/,Germany,Oberhausen,GIS / Esri partner,rola Security Solutions is a reliable partner for information management in the security sector. rola was founded in 1983 and is one of the leading...,GIS and mapping platform,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/rola-security-soluti-a2Tf2000006aBU7EAM | https://www.rola.com/,,,,rola Security Solutions GmbH,Germany,Oberhausen,1983,unknown,GIS and mapping platform,GIS / mapping platform,unknown,defense / intelligence,SaaS,government; enterprise,GIS analyst,unknown,unknown,unknown,unknown,unknown,unknown,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into government; enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
Romaeris Corporation,https://romaeris.com/,Canada,unknown,geospatial / OGC member,Commercial member of the Open Geospatial Consortium.,"Geospatial standards, GIS, mapping, or related geospatial products/services",yes,yes,yes,unknown,yes,https://www.ogc.org/ogc-member-directory/ | https://portal.ogc.org/services/srv_active_members_csv_new.php | https://romaeris.com/ | https://romaeris.com/about-2/,,,,Romaeris Corporation,Canada,unknown,unknown,active,"Geospatial standards, GIS, mapping, or related geospatial products/services",drone mapping platform,satellite imagery analysis; drone mapping,AEC / infrastructure; environmental services; logistics / mobility,SaaS; services,enterprise,GIS analyst; drone operator; remote sensing analyst,Global,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,Partner ecosystem,partner-led,Partner-oriented GTM into enterprise accounts for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; satellite imagery; drone imagery; weather / climate data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
RomoGIS LLC,https://romogis.com/,United States,Detroit,GIS / Esri partner,"RomoGIS is a technology-driven company specializing in Geographic Information Systems (GIS), drone technology, and data analytics to support workforce development and community solutions. We empower...","Application Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Integration, Training Services",yes,unknown,yes,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/romogis-llc-a2TUU000000anNB2AY | https://www.romogis.com/ | https://romogis.com/,,,,RomoGIS LLC,United States,Detroit,unknown,active,Geospatial consulting and integration services,consulting / integration services,map creation; geospatial analysis; data visualization; drone mapping,government; energy / utilities; defense / intelligence,SaaS; services,consumer; government; enterprise,GIS analyst; planner; drone operator; data analyst,unknown,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; drone imagery; API integrations,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Rosen group,https://rosen-group.com/,Switzerland,Stans,geospatial / remote sensing,"We are empowered by technologyFor us, technology is the driving force of progress to ensure a more sustainable future for our customers, their assets and...","Application Development, Data Conversion/Migration, Data Model & Database Design, Hosting Services, Implementation, Training Services",yes,yes,unknown,unknown,yes,https://github.com/AlexArcPy/geospatial-careers | https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/rosen-group-a2T70000000TNdDEAW | https://www.rosen-group.com/en | https://www.rosen-group.com/en/company/about-us | https://www.rosen-group.com/en/expertise/experience-center/case-studies/assessing-the-feasibility-of-converting-an-existing-pipeline-for-hydrogen-storage | https://www.rosen-group.com/en/expertise/experience-center/blog/how-industry-collaborates-to-change-the-narrative-about-working-in-pipelines | https://rosen-group.com/,,,,Rosen group,Switzerland,Stans,unknown,acquired,"Application Development, Data Conversion/Migration, Data Model & Database Design, Hosting Services, Implementation, Training Services",consulting / integration services,data visualization; field operations; project tracking; route optimization; surveying,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services,consumer; government; enterprise,planner; developer; project manager; surveyor; remote sensing analyst,Global,unknown,services,unknown,unknown,Services and project fees,"collaborative, AI-native consulting / integration services",Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,The Talent Pipeline: How the Industry Can Change Narratives,2026-04-17,location / POI data; API integrations; weather / climate data,AI / machine learning; real-time collaboration,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
Rotten Grapes Private Limited,https://rottengrapes.tech/,India,unknown,geospatial / OGC member,Commercial member of the Open Geospatial Consortium.,"Geospatial standards, GIS, mapping, or related geospatial products/services",yes,yes,unknown,yes,yes,https://www.ogc.org/ogc-member-directory/ | https://portal.ogc.org/services/srv_active_members_csv_new.php | https://rottengrapes.tech/ | https://rottengrapes.tech/about/ | https://rottengrapes.tech/insights/think-before-renewing-enterprise-gis-license/ | https://rottengrapes.tech/case-studies/ | https://rottengrapes.tech/insights/blogs/,,,,Rotten Grapes Private Limited,India,unknown,unknown,active,"Geospatial standards, GIS, mapping, or related geospatial products/services",earth observation analytics,data visualization; route optimization; satellite imagery analysis; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,API; SaaS; desktop; services,consumer; government; enterprise,GIS analyst; planner; developer; project manager; remote sensing analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, AI-native, open-source, real-time earth observation analytics",Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,Blogs - Rotten Grapes,2026-04-17,GIS data; satellite imagery; LiDAR / point clouds; location / POI data; API integrations; weather / climate data,AI / machine learning; API-first; open source; cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Route Solutions Inc.,https://routesolutions.com/,United States,Oceanside,GIS / Esri partner,Route Solutions Inc. GIS / Esri partner RouteSolutions.com Home Page | Route Optimization Tracking Navigation Route Planning and Optimization with GPS and Navigation,GIS and mapping platform,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/route-solutions-inc-a2T70000000TNdEEAW | https://routesolutions.com/ | https://routesolutions.com/clients.htm,,,,Route Solutions Inc.,United States,Oceanside,unknown,active,GIS and mapping platform,GIS / mapping platform,route optimization; reporting; collaboration,energy / utilities; logistics / mobility,API; SaaS; mobile; services,enterprise,GIS analyst; planner; developer,unknown,unknown,subscription,unknown,unknown,SaaS subscriptions,real-time GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,API-first; cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
RouteSmart - A FedEx Company,https://routesmart.com/,United States,Columbia,GIS / Esri partner,"RouteSmart - a FedEx Company, headquartered in Columbia, Maryland, provides advanced route planning and optimization solutions that help organizations design more efficient service and delivery...","Application Development, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/routesmart-a-fedex-c-a2T70000000TNdFEAW | https://www.routesmart.com/ | https://www.routesmart.com/about/careers/ | https://www.routesmart.com/waste-collection/ | https://www.routesmart.com/newspaper/ | https://routesmart.com/,,,,RouteSmart - A FedEx Company,United States,Columbia,unknown,acquired,"Application Development, Needs and Requirements, System Architecture and Design, System Integration, Training Services",field operations GIS software,data visualization; field operations; route optimization; reporting,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,SaaS; desktop; mobile; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; data analyst,Global,unknown,subscription,yes,"$1,083,812",SaaS subscriptions,field operations GIS software,Matidor; Atlas.co; Esri,Esri,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,Newspaper Route Planner Software | RouteSmart Technologies,2026-04-17,GIS data; API integrations,cloud platform,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,unknown
Rovco,https://rovco.com/,Switzerland,unknown,geospatial / remote sensing,"Switzerland-based Rosenxt Holding AG, has acquired selected assets and talent from Rovco Limited, doing business also as “Beam”, the subsea robotics and engineering firm formerly...",GIS-native field operations software,yes,yes,unknown,unknown,yes,https://github.com/AlexArcPy/geospatial-careers | https://www.rosen-nxt.com/en/newsroom/news-and-media/press-release/beam | https://www.rosen-nxt.com/en/newsroom | https://rovco.com/,,,,Rovco,Switzerland,unknown,unknown,acquired,GIS-native field operations software,field operations GIS software,field operations; route optimization; reporting,AEC / infrastructure; energy / utilities; environmental services,SaaS,enterprise,planner; developer; remote sensing analyst,unknown,unknown,unknown,unknown,unknown,unknown,AI-native field operations GIS software,Matidor; Atlas.co; Esri,Partner ecosystem,partner-led,Partner-oriented GTM into enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,API integrations,AI / machine learning,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,unknown
Rover Geospatial,https://rovergeospatial.com/,United States,Dayton,GIS / Esri partner,"At Rover Geospatial, our team have been providing GIS consulting services to local government agencies for over 20 years. Our journey started with a passion...","Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/rover-geospatial-a2T5x000006R3CbEAK | https://rovergeospatial.com/,,,,Rover Geospatial,United States,Dayton,unknown,unknown,Geospatial consulting and integration services,consulting / integration services,unknown,government; AEC / infrastructure,services,government,GIS analyst; planner,unknown,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into government accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
RPS Group,https://rpsgroup.com/,New Zealand,unknown,geospatial / remote sensing,"RPS, a Tetra Tech company RPS is a leading global professional services firm that defines, designs and manages projects across 6 sectors: property, energy, water...",Geospatial consulting and integration services,yes,yes,yes,unknown,yes,https://github.com/YanCheng-go/Awesome-Geospatial-Intelligence-Companies | https://www.rpsgroup.com/ | https://www.rpsgroup.com/about-us/ | https://www.rpsgroup.com/services/advisory-and-management-consulting/workforce-planning/ | https://www.rpsgroup.com/about-us/responsibility/using-our-deep-expertise-to-support-tree-aid-a-case-study/ | https://www.rpsgroup.com/about-us/news/ | https://rpsgroup.com/,,,,RPS Group,New Zealand,unknown,unknown,active,Geospatial consulting and integration services,consulting / integration services,data visualization; field operations; project tracking; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services,government; enterprise,GIS analyst; planner; project manager; surveyor; remote sensing analyst,Global,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations; weather / climate data,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
RS Metrics,https://rsmetrics.com/,,unknown,geospatial company,"RS Metrics is a satellite analytics company that provides asset level ESG insights for corporates, asset managers, and ratings and index providers.",satellite data,yes,yes,unknown,unknown,yes,https://rsmetrics.com/ | https://rsmetrics.com/about-us/ | https://rsmetrics.com/depoliticizing-esg-with-good-data/ | https://rsmetrics.com/blog/,,,,RS Metrics,unknown,unknown,2012,acquired,satellite data,location data API,data visualization; site selection; satellite imagery analysis; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; mobile; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; remote sensing analyst; data analyst,Global,unknown,usage-based,unknown,unknown,Usage-based platform or API fees,"collaborative, AI-native, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,marketplace,Marketplace-led distribution for location data API.,unknown,unknown,unknown,unknown,unknown,Blog - RS Metrics,2026-04-17,GIS data; satellite imagery; location / POI data; API integrations; weather / climate data,AI / machine learning; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
RSAE Labs,https://www.rsaemist.com/,United States,Lynn Haven,GIS / Esri partner,RSAE IoT is the preferred instant on IoT solution for the DoD. After 12 years of reviewing all IoT options the DoD has again selected...,"Business Case Development, Data Conversion/Migration, GIS Strategy and Planning, Implementation",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/rsae-labs-a2TUU0000016tSf2AI | https://www.rsaemist.com/,,,,RSAE Labs,United States,Lynn Haven,unknown,unknown,"Business Case Development, Data Conversion/Migration, GIS Strategy and Planning, Implementation",GIS / mapping platform,unknown,unknown,SaaS; services,enterprise,GIS analyst; planner,Global,unknown,services,unknown,unknown,Services and project fees,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
RSH Inc.,https://rsandh.com/,United States,Jacksonville,GIS / Esri partner,"RS&H provides GIS solutions for the aerospace, aviation, corporate, defense, and transportation industries. We take pride in the relationships we build with each of our...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/rs-h-inc-a2Tf2000006QhaPEAS | https://www.rsandh.com/ | https://www.rsandh.com/about-us/employee-ownership/ | https://www.rsandh.com/contact/ | https://rsandh.com/,,,,RSH Inc.,United States,Jacksonville,2010,acquired,Geospatial consulting and integration services,consulting / integration services,data visualization; field operations,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services,consumer; government; enterprise,GIS analyst; planner; data analyst,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,collaborative consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri; Planet,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,Contact | RS&H,2026-04-17,GIS data; API integrations,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
